Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"SmsFeedback_Take4.Controllers.ReportsController.GetTotalNoOfSmsInfo(string,string,string,string,string)",1,3.70,0.00,"1,310.40",0.93,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetIncomingOutgoingSmsChartSource(string,string,string,string,string)",1,3.63,0.00,"1,285.61",0.92,"SmsFeedback_Take4.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string)",1,0.00,0.00,0.90,0.90,"System.Web.Mvc.dll",
"System.Data.Entity.Database.set_DefaultConnectionFactory(class System.Data.Entity.Infrastructure.IDbConnectionFactory)",1,0.00,0.00,0.86,0.86,"EntityFramework.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass101.<ComputeNoOfIncomingSms>b__fd(class SmsFeedback_EFModels.Message)",816,0.01,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetIncomingSmsInfo(string,string,string,string,string)",1,3.62,0.00,"1,282.04",0.81,"SmsFeedback_Take4.dll",
"System.Reflection.MethodBase.GetMethodFromHandle(valuetype System.RuntimeMethodHandle)",332,0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.Linq.Enumerable.GroupBy(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",168,0.00,0.00,0.00,0.00,"System.Core.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass109.<ComputeNoOfOutgoingSms>b__104(class SmsFeedback_EFModels.Message)",816,0.01,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
"ASP.views_shared_site_master.__BuildControl__control3()",2,0.01,0.00,1.01,0.40,"App_Web_5xga5w0e.dll",
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",184,0.00,0.00,0.00,0.00,"System.Core.dll",
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object)",2,0.00,0.00,0.40,0.39,"System.Web.Mvc.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string,object,object)",1,0.00,0.00,0.78,0.77,"System.Web.Mvc.dll",
"SmsFeedback_EFModels.Message.get_TimeReceived()","6,797",0.00,0.00,0.00,0.00,"SmsFeedback_EFModels.dll",
"SmsFeedback_Take4.MvcApplication.Application_Start()",1,0.04,0.00,12.90,0.76,"SmsFeedback_Take4.dll",
"System.Data.Entity.Database.set_DefaultConnectionFactory(class System.Data.Entity.Infrastructure.IDbConnectionFactory)",1,0.00,0.00,0.75,0.75,"EntityFramework.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.UpdatedResourceLink(class System.Web.Mvc.UrlHelper,string)",6,0.01,0.00,0.66,0.12,"SmsFeedback_Take4.dll",
"ASP.views_account_logon_aspx.__BuildControl__control2()",1,0.02,0.00,7.50,0.74,"App_Web_4g5pokgx.dll",
"System.Web.Mvc.Controller.Json(object,valuetype System.Web.Mvc.JsonRequestBehavior)",27,0.00,0.00,0.03,0.03,"System.Web.Mvc.dll",
"ASP.views_home_index_aspx.FrameworkInitialize()",1,0.01,0.00,1.93,0.70,"App_Web_kxthdw2m.dll",
"System.Web.Mvc.ViewUserControl.get_Html()",2,0.00,0.00,0.35,0.35,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",4,0.05,0.00,4.46,0.17,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.UpdateConversationsFromExternalSources(string[],valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.27,0.00,48.59,0.33,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository..ctor(string)",1,0.00,0.00,0.66,0.66,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumber(bool,string[],string,valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.54,0.00,95.11,0.32,"SmsFeedback_Take4.dll",
"System.Web.HttpUtility.HtmlEncode(string)",8,0.00,0.00,0.08,0.08,"System.Web.dll",
"System.Linq.Expressions.Expression.Bind(class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression)",64,0.00,0.00,0.01,0.01,"System.Core.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.00,0.00,0.64,0.60,"System.Web.Mvc.dll",
"System.Web.Mvc.Controller.RedirectToAction(string,string)",1,0.00,0.00,0.58,0.58,"System.Web.Mvc.dll",
