Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.Mvc.RouteCollectionExtensions.MapRoute(class System.Web.Routing.RouteCollection,string,string,object,object)",1,0.01,0.01,1.66,1.57,"System.Web.Mvc.dll",
"System.Linq.Enumerable.Take(class System.Collections.Generic.IEnumerable`1<!!0>,int32)",1,0.01,0.01,1.57,1.57,"System.Core.dll",
"System.Web.HttpCookie..ctor(string,string)",17,0.01,0.01,0.09,0.09,"System.Web.dll",
"System.Text.RegularExpressions.Regex..ctor(string,valuetype System.Text.RegularExpressions.RegexOptions)",67,0.01,0.01,0.02,0.02,"System.dll",
"System.Web.UI.IAttributeAccessor.SetAttribute(string,string)",4,0.01,0.01,0.34,0.34,"System.Web.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetReportsMenuItems()",1,0.01,0.01,1.56,1.33,"SmsFeedback_Take4.dll",
"LinqKit.Extensions.AsExpandable(class System.Linq.IQueryable`1<!!0>)",1,0.01,0.01,1.33,1.33,"LinqKit.dll",
"System.Web.HttpResponseBase.SetCookie(class System.Web.HttpCookie)",17,0.01,0.01,0.08,0.08,"System.Web.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.UpdateConversationsFromExternalSources(string[],valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.53,0.01,56.54,0.66,"SmsFeedback_Take4.dll",
"System.Data.Entity.DbContext.Dispose()",15,0.01,0.01,0.09,0.09,"EntityFramework.dll",
"System.Web.UI.Page.AddWrappedFileDependencies(object)",1,0.01,0.01,1.27,1.27,"System.Web.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",12,0.09,0.01,1.56,0.10,"SmsFeedback_Take4.dll",
"ASP.views_shared_site_master.__BuildControl__control2()",2,0.02,0.01,1.78,0.62,"App_Web_mqahmqy2.dll",
"LinqKit.PredicateBuilder.Or(class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",6,0.01,0.01,0.20,0.20,"LinqKit.dll",
"LinqKit.PredicateBuilder.And(class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,bool>>)",3,0.01,0.01,0.40,0.40,"LinqKit.dll",
"System.Data.Entity.Database.set_DefaultConnectionFactory(class System.Data.Entity.Infrastructure.IDbConnectionFactory)",1,0.01,0.01,1.20,1.20,"EntityFramework.dll",
"System.IO.TextWriter.Write(string)",56,0.01,0.01,0.02,0.02,"mscorlib.dll",
"System.Web.Mvc.Controller.View()",3,0.00,0.00,0.35,0.35,"System.Web.Mvc.dll",
"SmsFeedback_EFModels.SubscriptionDetail.GetNextBillingDate(valuetype System.DateTime)",2,0.00,0.00,0.52,0.52,"SmsFeedback_EFModels.dll",
"System.Linq.Expressions.Expression.Call(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression[])",25,0.00,0.00,0.04,0.04,"System.Core.dll",
"System.Linq.Queryable.AsQueryable(class System.Collections.Generic.IEnumerable`1<!!0>)",2,0.00,0.00,0.49,0.49,"System.Core.dll",
"System.Web.Mvc.Html.LinkHelper.MenuLink(class System.Web.Mvc.HtmlHelper,string,string,string,string)",8,0.02,0.00,0.40,0.12,"SmsFeedback_Take4.dll",
"LinqKit.PredicateBuilder.True()",1,0.00,0.00,0.91,0.91,"LinqKit.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string)",1,0.00,0.00,0.90,0.90,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,bool,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.98,0.00,208.62,0.86,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string)",2,0.00,0.00,0.43,0.43,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",4,0.09,0.00,4.78,0.20,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string,object,object)",1,0.00,0.00,0.82,0.82,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.UpdatedResourceLink(class System.Web.Mvc.UrlHelper,string)",6,0.03,0.00,0.98,0.13,"SmsFeedback_Take4.dll",
"System.Reflection.MethodBase.GetMethodFromHandle(valuetype System.RuntimeMethodHandle)",249,0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.Web.Mvc.Html.LinkHelper.MenuLink(class System.Web.Mvc.HtmlHelper,string,string,string,string)",8,0.01,0.00,0.28,0.10,"SmsFeedback_Take4.dll",
"ASP.views_shared_site_master.__BuildControl__control3()",2,0.01,0.00,0.99,0.37,"App_Web_mqahmqy2.dll",
"ASP.views_account_logon_aspx.__BuildControl__control2()",1,0.04,0.00,7.92,0.74,"App_Web_hucenq10.dll",
"System.Web.Mvc.ViewUserControl.get_Html()",2,0.00,0.00,0.37,0.37,"System.Web.Mvc.dll",
"ASP.views_reports_index_aspx.FrameworkInitialize()",1,0.00,0.00,0.77,0.73,"App_Web_vvd4tm1l.dll",
"System.Web.HttpUtility.HtmlEncode(string)",8,0.00,0.00,0.08,0.08,"System.Web.dll",
"ASP.views_home_index_aspx.FrameworkInitialize()",1,0.01,0.00,1.90,0.66,"App_Web_wqdkly55.dll",
