Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
"SmsFeedback_Take4.Utilities.EFInteraction.GetWorkingPointsForAUser(string,string,class SmsFeedback_EFModels.smsfeedbackEntities)",25,1.12,0,25.64,0.09,SmsFeedback_Take4.dll
System.Reflection.FieldInfo.GetFieldFromHandle(valuetype System.RuntimeFieldHandle),52,0,0,0.04,0.04,mscorlib.dll
"System.Linq.Enumerable.Where(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,bool>)","1,587",0,0,0,0,System.Core.dll
SmsFeedback_EFModels.SubscriptionDetail.WarningsRequired(),2,0,0,1.06,1.06,SmsFeedback_EFModels.dll
"System.Web.Mvc.Html.ValidationExtensions.ValidationSummary(class System.Web.Mvc.HtmlHelper,bool,string)",1,0,0,2.06,2.06,System.Web.Mvc.dll
SmsFeedback_Take4.Controllers.ReportsController.<InitializeInterval>b__109(valuetype System.DateTime),416,0.01,0,0.01,0,SmsFeedback_Take4.dll
System.Web.Mvc.AuthorizeAttribute.set_Roles(string),7,0,0,0.28,0.28,System.Web.Mvc.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetNoOfConversationsByTagsChartSource(string,string,string,string,string)",1,2.68,0,"1,541.02",1.95,SmsFeedback_Take4.dll
"System.Linq.Expressions.Expression.Equal(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",40,0,0,0.05,0.05,System.Core.dll
System.IO.File.GetLastWriteTime(string),66,0,0,0.03,0.03,mscorlib.dll
SmsFeedback_Take4.MvcApplication.Application_Start(),1,2.8,0,"1,610.95",1.72,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetTotalNoOfClientsInfo(string,string,string,string)",3,6.28,0,"1,203.54",0.56,SmsFeedback_Take4.dll
ASP.views_shared_site_master.__BuildControlTree(class ASP.views_shared_site_master),2,0.01,0,3.42,0.84,App_Web_e03r53wt.dll
"System.Web.UI.MasterPage.InstantiateInContentPlaceHolder(class System.Web.UI.Control,class System.Web.UI.ITemplate)",10,0,0,0.21,0.15,System.Web.dll
"System.Web.Mvc.Html.LabelExtensions.LabelFor(class System.Web.Mvc.HtmlHelper`1<!!0>,class System.Linq.Expressions.Expression`1<class System.Func`2<!!0,!!1>>)",1,0,0,1.54,1.54,System.Web.Mvc.dll
"System.Linq.Enumerable.OrderByDescending(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",7,0,0,0.22,0.22,System.Core.dll
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",6,0,0,0.25,0.25,System.Core.dll
System.Linq.Queryable.AsQueryable(class System.Collections.Generic.IEnumerable`1<!!0>),2,0,0,0.75,0.75,System.Core.dll
SmsFeedback_EFModels.Message.get_TimeReceived(),"14,392",0,0,0,0,SmsFeedback_EFModels.dll
"System.Web.UI.IAttributeAccessor.SetAttribute(string,string)",4,0,0,0.35,0.35,System.Web.dll
ASP.views_shared_site_master.__BuildControl__control2(),2,0.01,0,1.89,0.69,App_Web_e03r53wt.dll
System.Web.HttpResponseBase.SetCookie(class System.Web.HttpCookie),44,0,0,0.03,0.03,System.Web.dll
"System.Text.RegularExpressions.Regex..ctor(string,valuetype System.Text.RegularExpressions.RegexOptions)",66,0,0,0.02,0.02,System.dll
System.Data.Entity.DbContext.Dispose(),42,0,0,0.03,0.03,EntityFramework.dll
System.Reflection.MethodBase.GetMethodFromHandle(valuetype System.RuntimeMethodHandle),329,0,0,0,0,mscorlib.dll
"System.Linq.Enumerable.GroupBy(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",249,0,0,0,0,System.Core.dll
"System.Web.HttpCookie..ctor(string,string)",44,0,0,0.03,0.03,System.Web.dll
System.IO.TextWriter.Write(string),56,0,0,0.02,0.02,mscorlib.dll
