Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",8,0.04,0.00,2.16,0.10,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LinkHelper.MenuLink(class System.Web.Mvc.HtmlHelper,string,string,string,string)",8,0.01,0.00,0.28,0.09,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string,object,object)",1,0.00,0.00,0.75,0.74,"System.Web.Mvc.dll",
"ASP.views_reports_index_aspx.FrameworkInitialize()",1,0.00,0.00,0.78,0.73,"App_Web_pfllcok2.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetIncomingOutgoingSmsChartSource(string,string,string,string,string)",1,3.48,0.00,"1,359.14",0.73,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.TagsController..ctor()",1,0.17,0.00,65.56,0.73,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository..ctor(string)",2,0.00,0.00,0.36,0.35,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.UpdatedResourceLink(class System.Web.Mvc.UrlHelper,string)",12,0.01,0.00,0.39,0.06,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Controller.Json(object,valuetype System.Web.Mvc.JsonRequestBehavior)",28,0.00,0.00,0.03,0.03,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassef.<ComputeTotalNoOfSms>b__ed(class SmsFeedback_EFModels.Message)","1,632",0.00,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
"System.Reflection.MethodBase.GetMethodFromHandle(valuetype System.RuntimeMethodHandle)",289,0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.Web.Mvc.ViewUserControl.get_Html()",2,0.00,0.00,0.33,0.33,"System.Web.Mvc.dll",
"ASP.views_shared_site_master.__BuildControl__control3()",2,0.00,0.00,0.92,0.33,"App_Web_baow5oaw.dll",
"ASP.views_home_index_aspx.FrameworkInitialize()",1,0.00,0.00,1.84,0.64,"App_Web_a3rs1yez.dll",
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",12,0.00,0.00,0.05,0.05,"System.Core.dll",
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",155,0.00,0.00,0.00,0.00,"System.Core.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetAvgResponseTimeInfo(string,string,string,string)",2,6.76,0.00,"1,320.59",0.31,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Html.LinkHelper.MenuLink(class System.Web.Mvc.HtmlHelper,string,string,string,string)",8,0.01,0.00,0.35,0.08,"SmsFeedback_Take4.dll",
"System.Web.HttpUtility.HtmlEncode(string)",16,0.00,0.00,0.04,0.04,"System.Web.dll",
"SmsFeedback_Take4.Controllers.ReportsController.PrepareJson(class System.Collections.Generic.List`1<class System.Collections.Generic.Dictionary`2<valuetype System.DateTime,class SmsFeedback_Take4.Models.Helpers.ChartValue>>,string)",3,0.01,0.00,0.83,0.20,"SmsFeedback_Take4.dll",
"System.Web.UI.Page.FrameworkInitialize()",2,0.00,0.00,0.29,0.29,"System.Web.dll",
"MoveNext()",231,0.00,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
